galaxy_number,m1_dco,m2_dco,m_chirp,a_dco,e_dco,Z,t_evol,lookback_time,SNR,SNR_harmonics
67,$11.9761\pm6.7101$,$10.6691\pm7.7129$,$9.5702\pm6.2548$,$-1.3341\pm0.4821$,$0.4449\pm0.2949$,$-1.8085\pm0.2046$,$6.1275\pm1.1004$,$2.2413\pm1.1096$,$1.2234\pm0.4139$,$0.5503\pm0.5454$
68,$12.0328\pm7.2903$,$11.452\pm8.0854$,$9.9766\pm6.6468$,$-1.306\pm0.4917$,$0.4476\pm0.3019$,$-1.8439\pm0.2085$,$6.5994\pm1.8725$,$2.3157\pm1.1154$,$1.1531\pm0.361$,$0.5372\pm0.5917$
69,$10.4421\pm6.1165$,$9.3304\pm7.1735$,$8.3365\pm5.679$,$-1.4845\pm0.3836$,$0.4304\pm0.2773$,$-1.8283\pm0.1975$,$6.5763\pm2.0035$,$2.0615\pm1.0827$,$1.1682\pm0.4261$,$0.5273\pm0.4799$
70,$10.393\pm5.9931$,$10.115\pm6.5817$,$8.7217\pm5.3303$,$-1.391\pm0.4051$,$0.4632\pm0.298$,$-1.8063\pm0.1856$,$6.5132\pm2.066$,$2.1603\pm1.0679$,$1.1707\pm0.2797$,$0.5958\pm0.6864$
71,$12.6373\pm7.1729$,$11.8974\pm7.9059$,$10.4587\pm6.5686$,$-1.2767\pm0.4973$,$0.459\pm0.2762$,$-1.8674\pm0.1961$,$6.0491\pm1.2278$,$2.3284\pm1.2374$,$1.1195\pm0.2682$,$0.5925\pm0.5847$
72,$11.286\pm6.4142$,$10.7462\pm7.1562$,$9.3251\pm5.8773$,$-1.2543\pm0.5813$,$0.5582\pm0.2995$,$-1.8247\pm0.1857$,$6.8188\pm1.9575$,$2.0242\pm1.1585$,$1.2175\pm0.4305$,$0.7498\pm0.7353$
73,$13.0583\pm7.7711$,$13.3469\pm7.9314$,$11.3168\pm6.8089$,$-1.1933\pm0.5099$,$0.5376\pm0.2665$,$-1.8334\pm0.2032$,$6.2055\pm1.8285$,$2.4306\pm1.2305$,$1.1636\pm0.3284$,$0.5828\pm0.5493$
74,$12.569\pm7.8278$,$11.8205\pm8.457$,$10.4622\pm7.1007$,$-1.2408\pm0.4981$,$0.5196\pm0.2946$,$-1.8616\pm0.1993$,$6.0675\pm1.7464$,$2.4117\pm1.2348$,$1.1926\pm0.3169$,$0.6666\pm0.7656$
75,$11.113\pm5.7677$,$8.6142\pm6.9223$,$8.2751\pm5.5109$,$-1.387\pm0.4612$,$0.3743\pm0.3105$,$-1.7678\pm0.1747$,$6.7535\pm1.763$,$2.2295\pm1.0785$,$1.1076\pm0.3398$,$0.4583\pm0.398$
76,$10.2628\pm6.7254$,$10.4387\pm6.8666$,$8.7662\pm5.8227$,$-1.2867\pm0.5399$,$0.4886\pm0.3083$,$-1.8062\pm0.2068$,$7.0986\pm2.295$,$2.2685\pm1.1263$,$1.1124\pm0.312$,$0.5494\pm0.5067$
77,$11.2751\pm6.6744$,$10.6497\pm7.2428$,$9.3608\pm6.0221$,$-1.3568\pm0.4233$,$0.4758\pm0.2985$,$-1.8178\pm0.1749$,$6.5573\pm2.1728$,$2.2914\pm1.2146$,$1.2652\pm0.4389$,$0.6051\pm0.6991$
78,$11.0392\pm6.4731$,$10.0111\pm7.0622$,$8.9694\pm5.8575$,$-1.405\pm0.4449$,$0.4438\pm0.2893$,$-1.8368\pm0.1994$,$6.5931\pm1.8697$,$2.1899\pm1.0603$,$1.1942\pm0.3497$,$0.461\pm0.2656$
79,$10.8565\pm7.213$,$11.459\pm7.6646$,$9.4211\pm6.284$,$-1.3707\pm0.4431$,$0.4556\pm0.2808$,$-1.8021\pm0.1843$,$6.7603\pm2.4688$,$2.3053\pm1.1665$,$1.2535\pm0.3451$,$0.5611\pm0.5949$
80,$13.7839\pm8.1203$,$12.7333\pm8.9458$,$11.3367\pm7.4855$,$-1.2263\pm0.4995$,$0.4602\pm0.2604$,$-1.8948\pm0.1966$,$6.3181\pm1.9104$,$2.6171\pm1.2283$,$1.259\pm0.5658$,$0.4881\pm0.4255$
81,$12.2379\pm6.9404$,$11.0863\pm8.0085$,$9.8794\pm6.442$,$-1.2306\pm0.5097$,$0.4761\pm0.2778$,$-1.8505\pm0.1908$,$6.1432\pm1.5156$,$2.5142\pm1.1437$,$1.2048\pm0.4277$,$0.5175\pm0.5543$
82,$12.0005\pm7.2629$,$11.101\pm8.0201$,$9.8608\pm6.6506$,$-1.3166\pm0.4797$,$0.4694\pm0.2744$,$-1.8867\pm0.1928$,$6.3208\pm1.538$,$2.3908\pm1.2459$,$1.2412\pm0.3991$,$0.5606\pm0.5038$
83,$10.7037\pm6.7698$,$10.8629\pm6.9461$,$9.2802\pm5.9227$,$-1.3433\pm0.437$,$0.53\pm0.2825$,$-1.843\pm0.1958$,$6.0478\pm1.1741$,$2.1399\pm1.238$,$1.1142\pm0.2972$,$0.6464\pm0.7036$
84,$12.2616\pm7.2714$,$11.1357\pm8.1112$,$9.9719\pm6.7061$,$-1.3024\pm0.4688$,$0.4832\pm0.3001$,$-1.83\pm0.204$,$6.287\pm1.5227$,$2.2822\pm1.1573$,$1.2681\pm0.3814$,$0.5601\pm0.5884$
85,$11.6036\pm7.0857$,$11.0933\pm8.2027$,$9.4925\pm6.512$,$-1.2732\pm0.5456$,$0.4848\pm0.3208$,$-1.8114\pm0.1744$,$6.4425\pm1.5164$,$2.1426\pm1.1583$,$1.1201\pm0.2998$,$0.6923\pm0.7465$
86,$10.1343\pm5.5568$,$9.4421\pm5.9251$,$8.2817\pm4.8428$,$-1.4142\pm0.3843$,$0.5265\pm0.2791$,$-1.7829\pm0.1618$,$6.3104\pm1.4302$,$2.0174\pm1.15$,$1.1724\pm0.3508$,$0.6301\pm0.5206$
87,$11.0732\pm7.0555$,$10.2854\pm7.4203$,$9.0425\pm6.2278$,$-1.3866\pm0.505$,$0.4657\pm0.2972$,$-1.8667\pm0.1675$,$6.6311\pm1.9795$,$2.1019\pm1.2122$,$1.2052\pm0.3532$,$0.6166\pm0.5369$
88,$11.0367\pm6.6273$,$10.4418\pm7.3768$,$9.0898\pm6.0672$,$-1.295\pm0.5432$,$0.43\pm0.3033$,$-1.7868\pm0.1687$,$7.0157\pm2.3561$,$2.3395\pm1.0014$,$1.1326\pm0.3526$,$0.5834\pm0.6496$
89,$10.6844\pm6.8337$,$10.8761\pm7.1928$,$9.1655\pm5.9553$,$-1.4014\pm0.4228$,$0.4655\pm0.273$,$-1.8422\pm0.1856$,$6.6335\pm1.8324$,$2.0766\pm1.1198$,$1.0473\pm0.1972$,$0.531\pm0.3807$
90,$12.5099\pm7.3277$,$11.9051\pm7.8777$,$10.4365\pm6.6297$,$-1.2396\pm0.5054$,$0.5021\pm0.2937$,$-1.8338\pm0.1967$,$6.0005\pm1.1776$,$2.3842\pm1.2706$,$1.2013\pm0.3361$,$0.6382\pm0.706$
91,$10.9398\pm6.3595$,$10.8514\pm6.5442$,$9.2528\pm5.5713$,$-1.2518\pm0.4684$,$0.5759\pm0.313$,$-1.7964\pm0.1818$,$6.6686\pm1.9836$,$2.024\pm1.1787$,$1.1987\pm0.4029$,$0.8021\pm0.8539$
92,$10.5586\pm5.7599$,$9.4602\pm7.0985$,$8.3555\pm5.3396$,$-1.4019\pm0.5057$,$0.3967\pm0.3129$,$-1.8137\pm0.1795$,$6.4166\pm1.2764$,$2.07\pm1.0108$,$1.1973\pm0.4438$,$0.591\pm0.6201$
